City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.01,80,8,3.13,NZ,1687492044
1,san juan de miraflores,-12.1629,-76.9635,20.29,81,77,4.54,PE,1687492045
2,bouna,9.2667,-3.0,21.77,88,63,2.97,CI,1687492045
3,kodiak,57.79,-152.4072,9.73,93,100,2.06,US,1687492003
4,mrakovo,52.7161,56.6244,11.52,66,100,1.44,RU,1687492045
5,adamstown,-25.066,-130.1015,20.63,50,45,8.6,PN,1687492046
6,prineville,44.2999,-120.8345,24.39,29,0,3.09,US,1687492046
7,isangel,-19.55,169.2667,23.1,60,29,4.63,VU,1687492047
8,fortuna,40.5982,-124.1573,14.4,92,100,2.06,US,1687492047
9,mount gambier,-37.8333,140.7667,12.83,65,10,2.44,AU,1687492047
10,yellowknife,62.456,-114.3525,20.29,37,20,4.12,CA,1687492048
11,ad dabbah,18.05,30.95,27.78,21,23,3.23,SD,1687492049
12,talara,-4.5772,-81.2719,21.99,82,33,6.29,PE,1687492049
13,al badari,26.9926,31.4155,24.08,42,0,3.73,EG,1687492049
14,anadyr,64.75,177.4833,8.28,81,100,5.0,RU,1687492049
15,bikenibeu village,1.3673,173.1241,30.98,70,40,3.09,KI,1687492050
16,minas de marcona,-15.2119,-75.1103,12.67,87,69,5.8,PE,1687492050
17,bilibino,68.0546,166.4372,18.15,64,100,1.57,RU,1687492050
18,blackmans bay,-43.0167,147.3167,10.96,96,100,6.84,AU,1687492050
19,afaahiti,-17.75,-149.2833,25.93,82,99,10.63,PF,1687492051
20,hawaiian paradise park,19.5933,-154.9731,26.73,81,75,3.6,US,1687492051
21,port arthur,38.8,121.2667,28.12,67,6,4.8,CN,1687492051
22,belo sur tsiribihina,-19.7,44.55,15.0,86,0,2.07,MG,1687492052
23,tazacorte,28.629,-17.9293,22.54,85,100,4.63,ES,1687492052
24,crane,31.3974,-102.3501,32.35,26,49,5.77,US,1687492052
25,kale,50.9581,1.8521,13.89,83,7,2.27,FR,1687492053
26,hasaki,35.7333,140.8333,24.05,82,100,1.84,JP,1687492053
27,edinburgh of the seven seas,-37.0676,-12.3116,11.55,59,99,7.06,SH,1687492054
28,aasiaat,68.7098,-52.8699,0.97,87,100,1.98,GL,1687492054
29,college,64.8569,-147.8028,22.55,70,75,5.14,US,1687492054
30,port-aux-francais,-49.35,70.2167,8.12,97,100,17.42,TF,1687492054
31,dunedin,-45.8742,170.5036,11.0,91,100,1.39,NZ,1687492054
32,magong,23.5654,119.5863,28.15,80,99,4.43,TW,1687492055
33,puerto ayora,-0.7393,-90.3518,23.64,92,86,4.42,EC,1687492055
34,margaret river,-33.95,115.0667,12.24,64,87,9.18,AU,1687492055
35,ushuaia,-54.8,-68.3,0.81,80,75,4.63,AR,1687492026
36,nova xavantina,-14.6667,-52.35,20.36,55,9,0.99,BR,1687492055
37,pekalongan,-6.8886,109.6753,33.34,65,7,1.59,ID,1687492056
38,tiksi,71.6872,128.8694,17.47,34,55,7.38,RU,1687492056
39,champerico,14.3,-91.9167,27.71,72,100,1.56,GT,1687492056
40,el porvenir,13.7617,-87.3458,24.63,91,97,2.15,HN,1687491982
41,ribeira grande,38.5167,-28.7,20.99,96,100,5.81,PT,1687492057
42,uturoa,-16.7333,-151.4333,26.55,79,75,8.17,PF,1687492057
43,georgetown,5.4112,100.3354,31.96,74,20,3.09,MY,1687492057
44,sandnessjoen,66.0217,12.6316,12.29,100,75,7.2,NO,1687492058
45,pisco,-13.7,-76.2167,16.68,82,1,2.57,PE,1687492058
46,zaragoza,41.6561,-0.8773,20.57,64,0,3.58,ES,1687491786
47,stanley,54.868,-1.6985,12.65,91,0,1.03,GB,1687492059
48,conduaga,8.862,117.4893,29.26,69,99,1.18,PH,1687492059
49,invercargill,-46.4,168.35,10.57,84,95,2.65,NZ,1687492060
50,tsengel,49.4783,100.8894,23.19,40,52,2.31,MN,1687492060
51,bonthe,7.5264,-12.505,23.86,91,91,0.98,SL,1687492060
52,bardai,11.65,7.2333,24.09,71,100,2.9,NG,1687492061
53,ust-nera,64.5667,143.2,24.19,26,87,1.89,RU,1687492061
54,san patricio,28.017,-97.5169,29.35,78,18,5.57,US,1687492061
55,vorgashor,67.5833,63.95,4.31,64,99,5.47,RU,1687492062
56,carnarvon,-24.8667,113.6333,18.44,54,88,2.87,AU,1687492062
57,dampit,-8.2116,112.7493,29.23,46,4,2.09,ID,1687492062
58,egilsstadir,65.2653,-14.3948,11.95,66,0,6.17,IS,1687492063
59,coquimbo,-29.9533,-71.3436,13.85,100,0,3.6,CL,1687492063
60,carutapera,-1.195,-46.02,23.31,94,17,1.32,BR,1687492063
61,tofol,5.3248,163.0078,30.88,70,75,5.14,FM,1687492063
62,mutum biyu,8.6333,10.7667,22.91,92,97,1.56,NG,1687492064
63,pacific grove,36.6177,-121.9166,14.81,84,75,4.12,US,1687491900
64,port elizabeth,-33.918,25.5701,10.17,89,0,4.12,ZA,1687492065
65,thompson,55.7435,-97.8558,14.09,72,40,3.6,CA,1687492034
66,papatowai,-46.5619,169.4708,10.6,89,100,1.46,NZ,1687492065
67,grytviken,-54.2811,-36.5092,0.86,84,100,2.77,GS,1687492066
68,bam,29.106,58.357,39.3,10,36,4.02,IR,1687492066
69,longyearbyen,78.2186,15.6401,7.91,81,75,1.54,SJ,1687492066
70,khandyga,62.6667,135.6,28.12,43,86,0.94,RU,1687492067
71,pontchateau,47.4333,-2.0833,15.99,94,0,1.54,FR,1687492067
72,juneau,58.3019,-134.4197,20.0,100,75,2.57,US,1687492067
73,brandon,27.9378,-82.2859,28.95,84,0,3.09,US,1687492068
74,bethel,41.3712,-73.414,19.17,87,0,1.54,US,1687492068
75,kingston,17.997,-76.7936,30.53,78,20,7.2,JM,1687492049
76,puerto natales,-51.7236,-72.4875,1.71,99,100,0.88,CL,1687492068
77,wailua homesteads,22.0669,-159.378,29.24,79,75,8.23,US,1687492069
78,east london,-33.0153,27.9116,11.52,82,0,4.12,ZA,1687491779
79,qaqortoq,60.7167,-46.0333,3.12,97,100,1.7,GL,1687492070
80,sitka,57.0531,-135.33,18.94,68,20,4.12,US,1687492070
81,dapa,9.7594,126.0531,27.98,75,97,2.26,PH,1687492071
82,yeniseysk,58.4497,92.1703,14.8,61,98,4.67,RU,1687492072
83,floro,61.5996,5.0328,12.91,87,100,4.63,NO,1687492072
84,bassila,9.0081,1.6654,21.62,88,85,0.3,BJ,1687492072
85,sept-iles,50.2001,-66.3821,16.24,81,100,1.03,CA,1687492073
86,alice springs,-23.7,133.8833,18.75,26,24,1.54,AU,1687491910
87,avarua,-21.2078,-159.775,26.03,94,75,6.69,CK,1687492074
88,kargasok,59.0556,80.8572,8.23,71,100,5.46,RU,1687492074
89,lake havasu city,34.4839,-114.3224,34.34,7,0,8.75,US,1687492074
90,wickenburg,33.9686,-112.7296,29.55,10,0,5.08,US,1687492075
91,sukhinichi,54.0999,35.3425,16.86,95,100,2.49,RU,1687492075
92,spassk,52.747,87.7545,17.03,52,81,3.47,RU,1687492075
93,haiku-pauwela,20.9219,-156.3051,28.01,67,40,10.8,US,1687492075
94,saipan,15.1355,145.701,33.39,100,20,7.72,MP,1687492075
95,jamestown,42.097,-79.2353,20.77,83,100,3.6,US,1687492032
96,albany,42.6001,-73.9662,18.36,83,96,1.19,US,1687491927
97,crozon,48.2464,-4.4899,15.06,94,98,1.54,FR,1687492076
98,nuku'alofa,-21.1333,-175.2,24.19,78,20,5.14,TO,1687492076
99,lardero,42.4269,-2.4615,14.4,94,0,2.57,ES,1687492077
100,maputo,-25.9653,32.5892,15.82,81,40,3.13,MZ,1687492077
101,north platte,41.1239,-100.7654,20.62,86,0,3.09,US,1687492077
102,urangan,-25.3,152.9,24.0,70,29,7.16,AU,1687492078
103,trondheim,63.4305,10.3951,13.03,85,100,0.45,NO,1687492067
104,espumoso,-28.7247,-52.8497,16.42,97,97,2.95,BR,1687492078
105,kudahuvadhoo,2.6708,72.8944,28.21,76,100,5.78,MV,1687492078
106,la passe,45.5549,-0.8967,17.77,86,31,1.44,FR,1687492079
107,aioun,16.6614,-9.6149,34.38,28,6,4.54,MR,1687492079
108,garoowe,8.4054,48.4845,24.45,63,18,10.05,SO,1687492079
109,vorkuta,67.5,64.0,4.67,63,99,5.42,RU,1687492080
110,nemuro,43.3236,145.575,13.43,87,100,2.64,JP,1687492080
111,donggang,28.9365,114.2259,21.21,93,100,0.52,CN,1687492080
112,laguna,38.421,-121.4238,19.86,67,0,5.66,US,1687492081
